
iter 0
5.88 11.18 -5.29
6.10 10.78 -4.68
5.14 10.56 -5.42
5.25 9.37 -4.11
3.91 8.89 -4.99
3.74 8.30 -4.56
2.16 7.42 -5.27
3.17 6.63 -3.46
1.71 5.63 -3.92
1.78 4.52 -2.74
0.07 2.79 -2.72
-0.20 1.90 -2.10
-1.13 1.62 -2.75
-2.58 1.06 -3.64
-1.84 -0.35 -1.49
-3.82 -2.06 -1.75
-4.24 -3.32 -0.92
-5.29 -3.16 -2.13
-5.18 -3.25 -1.94
-3.04 -3.42 0.38
-3.69 -1.88 -1.81
-2.63 -4.12 1.50
-4.84 -2.87 -1.97
-4.15 -3.13 -1.02
-5.35 -3.90 -1.45
-5.87 -2.58 -3.29
-3.62 -3.01 -0.62
-4.35 -3.25 -1.10
-3.23 -2.87 -0.36
-4.66 -2.16 -2.51
-3.61 -3.09 -0.51
-4.04 -3.11 -0.93
-1.98 -3.47 1.50
-5.80 -2.86 -2.94
-3.75 -3.25 -0.50
-2.30 -3.79 1.49
-3.33 -2.88 -0.45
-3.16 -2.81 -0.34
-0.13 -2.01 1.88
-1.72 -3.29 1.57
-2.42 -2.88 0.46
-3.67 -3.72 0.05
-3.30 -3.13 -0.17
-2.10 -3.63 1.52
-1.76 -2.55 0.79
-0.34 -2.75 2.41
-1.87 -3.38 1.50
-0.42 -2.59 2.17
0.16 -2.62 2.78
0.66 -2.59 3.25
-1.00 -3.06 2.06
-0.62 -2.98 2.36
-0.88 -2.68 1.79
-2.12 -3.59 1.48
-1.95 -3.65 1.70
-3.31 -3.32 0.01
-2.00 -3.16 1.16
-1.53 -3.15 1.63
-2.49 -2.80 0.31
-2.22 -2.93 0.71
-3.26 -3.07 -0.19
-3.46 -2.98 -0.48
-3.89 -3.05 -0.84
-5.78 -2.97 -2.80
-5.47 -3.37 -2.10
-5.68 -2.98 -2.70
-3.89 -3.36 -0.53
-5.01 -2.73 -2.28
-3.79 -3.14 -0.66
-6.85 -3.41 -3.45
-5.78 -2.60 -3.18
-4.62 -3.90 -0.72
-6.18 -2.60 -3.58
-6.57 -2.48 -4.09
-7.97 -3.09 -4.87
-5.91 -2.71 -3.20
-6.80 -3.79 -3.01
-6.27 -3.14 -3.13
-6.10 -3.84 -2.26
-7.53 -3.31 -4.22
-6.33 -2.93 -3.40
-8.00 -3.75 -4.25
-7.08 -2.79 -4.29
-6.39 -2.64 -3.75
-5.15 -3.38 -1.77
-5.37 -4.12 -1.26
-6.01 -3.52 -2.48
-8.36 -2.73 -5.63
-7.26 -3.82 -3.44
-6.61 -2.43 -4.18
-7.34 -2.37 -4.97
-6.40 -2.98 -3.41
-6.16 -2.44 -3.72
-5.92 -3.73 -2.19
-6.71 -3.76 -2.95
-5.66 -2.95 -2.72
-8.30 -2.87 -5.43
-8.26 -3.26 -5.00
-7.35 -3.36 -3.99
-9.54 -3.70 -5.84
-8.07 -3.09 -4.98
-8.80 -3.78 -5.02
0


iter 2
1.80 1.04 0.76
0.96 1.83 -0.87
0.38 3.04 -2.67
2.76 3.04 -0.28
2.86 4.25 -1.39
5.81 5.21 0.60
6.81 6.51 0.30
6.81 7.60 -0.79
8.69 8.15 0.55
8.62 8.64 -0.02
8.52 7.65 0.87
7.62 7.86 -0.24
7.32 8.60 -1.28
8.24 8.53 -0.29
7.36 7.73 -0.37
8.12 7.45 0.66
8.45 7.81 0.64
8.38 7.76 0.62
8.48 7.81 0.67
7.05 8.03 -0.99
8.86 7.94 0.92
7.68 8.04 -0.35
10.51 7.94 2.57
7.87 8.38 -0.51
5.90 8.18 -2.28
6.36 8.58 -2.22
6.95 7.38 -0.43
5.50 6.41 -0.91
5.77 5.94 -0.17
4.58 6.18 -1.60
4.52 5.47 -0.95
3.76 5.46 -1.70
5.12 4.85 0.27
1.63 4.77 -3.14
1.53 3.83 -2.30
1.91 1.37 0.54
0.43 0.38 0.05
-1.01 -0.25 -0.75
-0.30 1.07 -1.37
0.16 0.58 -0.42
-1.66 -0.04 -1.62
-1.33 0.78 -2.11
0.76 -0.06 0.82
0.77 0.96 -0.19
1.24 -0.51 1.75
-1.00 0.48 -1.48
-0.94 0.12 -1.06
-2.10 -0.89 -1.21
-2.88 -1.63 -1.25
-3.72 -3.34 -0.38
-3.23 -4.18 0.96
-3.98 -5.29 1.31
-4.45 -6.02 1.58
-5.69 -6.93 1.24
-7.23 -7.74 0.52
-7.53 -9.09 1.56
-7.83 -8.39 0.56
-8.63 -9.37 0.74
-8.85 -8.60 -0.24
-8.49 -9.92 1.43
-9.29 -8.30 -1.00
-8.37 -9.02 0.65
-10.10 -9.11 -1.00
-9.91 -9.10 -0.80
-8.20 -9.60 1.41
-7.78 -9.95 2.17
-10.21 -9.25 -0.95
-7.65 -8.91 1.27
-8.35 -9.89 1.54
-8.24 -8.91 0.67
-9.71 -8.36 -1.34
-8.14 -8.82 0.68
-8.65 -8.94 0.29
-7.90 -8.67 0.77
-8.43 -9.08 0.65
-9.88 -8.90 -0.98
-9.44 -9.18 -0.26
-8.37 -8.91 0.54
-6.93 -8.12 1.19
-5.71 -9.42 3.71
-8.59 -8.71 0.12
-6.24 -8.67 2.43
-7.44 -9.02 1.58
-8.05 -8.52 0.47
-8.13 -8.25 0.12
-8.81 -9.49 0.68
-9.34 -9.02 -0.32
-7.60 -9.41 1.80
-6.45 -9.54 3.09
-8.72 -8.29 -0.43
-6.84 -9.04 2.20
-9.69 -10.85 1.16
-8.28 -9.08 0.80
-7.94 -9.38 1.44
-7.31 -8.83 1.52
-6.90 -9.66 2.76
-9.37 -9.90 0.53
-9.98 -8.41 -1.57
-7.77 -9.54 1.77
-8.92 -8.85 -0.07
-10.28 -9.22 -1.05
-8.60 -8.43 -0.17
-8.63 -7.91 -0.72
-6.82 -9.06 2.24
-7.97 -9.28 1.31
-9.15 -8.42 -0.73
-6.91 -9.45 2.54
-8.69 -9.21 0.52
-6.14 -9.62 3.48
-9.37 -8.44 -0.93
-8.38 -8.63 0.25
-7.67 -8.91 1.24
-8.42 -9.86 1.44
-9.10 -8.94 -0.16
-8.00 -8.79 0.78
-10.45 -8.47 -1.99
-8.39 -9.60 1.21
-9.08 -9.07 -0.01
-9.24 -8.46 -0.79
-7.46 -8.69 1.23
-8.13 -9.50 1.36
-9.49 -9.59 0.10
-7.34 -9.47 2.13
-9.47 -8.62 -0.86
-8.04 -9.33 1.29
-8.99 -9.10 0.11
0


iter 3
8.23 0.04 8.19
9.52 1.86 7.66
6.39 2.39 4.00
5.33 2.71 2.62
7.17 3.22 3.95
5.84 5.40 0.44
6.04 6.92 -0.87
7.92 8.05 -0.13
8.70 9.05 -0.36
8.60 8.30 0.30
9.50 9.39 0.11
7.51 9.25 -1.74
9.25 9.61 -0.36
9.28 9.69 -0.40
7.83 8.01 -0.18
8.10 9.20 -1.10
9.21 8.15 1.06
10.02 8.78 1.24
7.61 8.00 -0.39
7.06 5.99 1.07
4.86 4.25 0.61
3.45 3.53 -0.09
2.95 2.77 0.18
1.66 1.56 0.10
0.23 1.31 -1.08
1.02 0.85 0.17
-0.85 -0.25 -0.60
-1.69 0.97 -2.66
1.67 -0.24 1.91
0.92 0.09 0.84
-0.27 -0.41 0.14
-3.07 -0.28 -2.80
1.25 0.10 1.14
-2.28 0.44 -2.72
-0.44 0.32 -0.77
1.62 0.89 0.73
-2.86 -0.69 -2.17
-2.77 -0.15 -2.62
-1.57 -0.46 -1.11
-0.61 -0.41 -0.20
-1.38 0.28 -1.66
-0.81 -0.01 -0.79
-0.21 0.33 -0.55
-1.00 -0.33 -0.66
-0.92 0.04 -0.96
-1.10 0.26 -1.36
-0.73 0.00 -0.73
-0.58 -0.55 -0.04
-2.93 -0.52 -2.41
-1.54 0.01 -1.55
-4.14 -0.53 -3.61
-2.42 0.79 -3.21
-0.00 0.48 -0.49
-1.59 0.21 -1.80
-1.87 -0.14 -1.73
-0.95 -0.40 -0.55
-2.72 0.30 -3.03
-1.15 0.82 -1.97
0.12 -0.15 0.28
-1.59 -0.16 -1.43
-1.06 0.37 -1.43
0.02 0.17 -0.14
-0.96 0.64 -1.60
-1.86 -0.51 -1.35
-2.58 -0.34 -2.24
-1.10 -0.89 -0.22
-2.32 -2.22 -0.10
-2.80 -2.97 0.17
-4.06 -4.15 0.09
-4.64 -4.41 -0.22
-5.59 -5.48 -0.10
-6.09 -5.87 -0.22
-5.91 -6.31 0.40
-6.11 -5.68 -0.43
-5.31 -5.67 0.36
-5.76 -6.09 0.33
-5.18 -6.77 1.59
-6.76 -5.37 -1.38
-5.05 -5.71 0.66
-4.91 -6.30 1.39
-5.62 -6.59 0.97
-5.17 -5.23 0.06
-3.39 -5.69 2.30
-3.40 -6.13 2.73
-5.56 -5.43 -0.13
-4.60 -6.18 1.59
-4.66 -5.54 0.88
-4.93 -6.95 2.02
-4.58 -5.83 1.25
-4.08 -5.81 1.73
-4.08 -6.97 2.89
-4.61 -6.42 1.81
-4.64 -5.91 1.28
-3.73 -5.85 2.12
-5.20 -5.73 0.53
-4.96 -5.33 0.37
-3.78 -6.38 2.60
-5.36 -6.19 0.83
-4.43 -6.13 1.70
-4.40 -5.19 0.79
-3.40 -5.62 2.22
-4.61 -6.54 1.93
-5.98 -6.20 0.22
-4.21 -6.26 2.05
-4.32 -6.29 1.97
-4.76 -5.94 1.18
-5.81 -5.75 -0.06
-5.18 -6.73 1.55
-4.43 -6.14 1.71
-6.45 -6.75 0.31
-5.91 -5.99 0.08
-3.78 -5.62 1.84
-3.41 -5.84 2.43
-4.13 -5.49 1.36
-4.07 -5.25 1.18
-2.86 -5.36 2.50
-4.47 -6.51 2.03
-4.87 -5.92 1.05
-4.01 -5.93 1.92
-3.98 -6.56 2.58
-5.24 -6.15 0.91
-5.49 -5.58 0.09
-3.47 -5.74 2.27
-4.62 -6.13 1.51
-5.80 -5.08 -0.72
-5.57 -6.24 0.67
0


iter 4
0.88 -0.19 1.08
0.97 0.42 0.55
3.00 2.18 0.82
3.03 1.76 1.27
3.96 2.36 1.60
4.63 4.20 0.43
3.66 4.88 -1.22
3.59 5.09 -1.51
4.22 6.51 -2.28
5.42 7.70 -2.28
7.99 5.99 1.99
5.11 6.95 -1.84
8.45 6.84 1.61
8.32 6.50 1.82
6.26 6.44 -0.17
6.58 6.72 -0.14
5.97 6.30 -0.32
7.58 7.10 0.48
6.36 8.22 -1.87
7.09 7.16 -0.07
7.42 6.79 0.64
8.18 7.18 1.00
7.41 8.31 -0.89
7.71 7.43 0.27
6.65 7.45 -0.80
6.88 7.23 -0.35
5.36 7.60 -2.24
6.53 6.59 -0.06
8.37 7.61 0.76
7.04 5.94 1.10
6.37 7.69 -1.32
8.58 7.75 0.83
7.05 6.95 0.10
6.78 6.84 -0.06
5.46 6.86 -1.40
7.97 6.39 1.59
4.11 6.60 -2.49
5.15 7.68 -2.53
6.14 6.92 -0.78
4.57 6.59 -2.02
4.70 7.34 -2.64
6.78 5.41 1.37
2.59 4.05 -1.46
2.68 3.08 -0.40
2.76 2.14 0.62
0.75 0.66 0.09
0.61 0.25 0.36
-1.06 -0.67 -0.40
-1.35 -1.92 0.57
-4.29 -3.31 -0.98
-4.62 -4.63 0.01
-6.07 -5.56 -0.51
-5.22 -6.57 1.36
-8.56 -7.54 -1.02
-7.43 -9.22 1.78
-8.35 -10.16 1.81
-10.21 -9.62 -0.60
-6.87 -9.43 2.56
-7.43 -10.46 3.03
-9.07 -9.75 0.68
-7.96 -9.74 1.78
-8.04 -10.50 2.46
-7.60 -11.42 3.83
-8.78 -9.25 0.47
-7.83 -10.06 2.23
-9.52 -10.44 0.92
-9.05 -9.59 0.54
-11.06 -9.84 -1.22
-9.03 -9.93 0.89
-9.77 -10.48 0.71
-9.13 -9.94 0.81
-8.39 -9.50 1.11
-9.18 -9.63 0.45
-8.60 -10.01 1.41
-9.58 -9.20 -0.38
-7.41 -9.85 2.44
-7.94 -10.21 2.26
-8.72 -10.56 1.84
-8.44 -10.15 1.71
-7.82 -9.77 1.95
-7.39 -9.75 2.36
-8.25 -9.59 1.34
-8.81 -10.45 1.64
-9.15 -9.97 0.82
-8.35 -10.35 1.99
-8.74 -9.49 0.75
-9.07 -9.64 0.57
-8.74 -9.37 0.63
-9.91 -10.08 0.17
-9.39 -10.60 1.21
-11.06 -10.16 -0.90
-9.17 -10.58 1.40
-8.38 -10.59 2.22
-7.92 -10.68 2.76
-9.19 -9.45 0.26
-9.14 -10.70 1.55
-9.17 -10.84 1.67
-10.49 -10.03 -0.46
-8.83 -10.42 1.59
-9.49 -10.40 0.91
-9.78 -9.42 -0.36
-7.81 -9.92 2.11
-8.93 -9.55 0.62
-7.06 -9.94 2.87
-9.10 -9.31 0.22
-6.98 -10.35 3.37
-9.56 -9.67 0.11
-9.35 -9.37 0.02
-8.16 -10.09 1.94
-7.09 -9.81 2.72
-9.17 -9.71 0.54
-9.29 -10.34 1.05
-9.98 -10.05 0.07
-7.42 -10.17 2.75
-10.37 -9.80 -0.57
-7.40 -10.63 3.23
-9.83 -9.25 -0.58
-8.53 -9.87 1.34
-9.25 -9.68 0.43
-8.59 -9.82 1.23
-7.87 -10.00 2.13
-9.97 -9.90 -0.08
-8.39 -9.58 1.19
-8.12 -9.46 1.33
-9.05 -10.27 1.22
-9.90 -10.41 0.51
0


iter 5
9.42 0.90 8.52
7.21 2.30 4.91
9.52 3.35 6.16
9.21 4.81 4.40
11.11 4.56 6.55
9.13 4.61 4.53
10.09 4.71 5.38
5.61 4.00 1.61
8.34 5.51 2.84
8.73 5.27 3.46
8.38 5.82 2.56
5.94 5.14 0.80
6.94 4.74 2.20
5.46 5.73 -0.27
6.24 5.51 0.73
6.79 5.63 1.15
7.01 4.52 2.49
5.47 4.46 1.00
4.77 4.97 -0.20
6.79 5.18 1.60
4.33 5.22 -0.89
5.49 5.65 -0.16
6.89 4.27 2.62
5.17 4.22 0.95
4.72 5.90 -1.18
7.11 5.27 1.84
6.71 4.18 2.53
5.58 5.23 0.35
6.34 5.20 1.14
6.62 4.78 1.84
5.16 5.27 -0.11
4.99 4.44 0.55
6.94 4.91 2.03
6.31 4.67 1.64
5.14 4.25 0.90
3.50 4.98 -1.48
6.38 5.39 0.99
5.35 4.85 0.50
5.73 5.17 0.57
3.86 4.98 -1.12
3.31 4.45 -1.14
5.39 5.12 0.27
2.26 4.58 -2.32
0.65 5.00 -4.35
2.31 4.79 -2.48
1.84 4.44 -2.60
2.52 4.75 -2.23
3.85 4.67 -0.82
2.03 4.66 -2.63
2.98 5.39 -2.41
2.01 5.44 -3.43
3.24 5.88 -2.64
4.07 4.35 -0.28
0.70 2.46 -1.77
0.50 1.53 -1.03
1.09 0.94 0.15
-2.09 0.57 -2.66
-0.63 -0.63 0.01
-3.20 -1.89 -1.31
-4.10 -2.45 -1.65
-4.62 -3.33 -1.29
-6.68 -4.61 -2.07
-5.64 -5.86 0.22
-7.38 -7.08 -0.30
-9.92 -6.84 -3.08
-6.02 -7.13 1.11
-8.55 -7.10 -1.45
-7.71 -7.17 -0.54
-7.66 -6.45 -1.21
-6.13 -6.97 0.84
-7.63 -6.91 -0.71
-7.55 -6.98 -0.57
-6.03 -6.73 0.70
-6.13 -6.53 0.40
-6.42 -7.66 1.25
-8.52 -6.18 -2.34
-5.64 -7.36 1.72
-8.68 -8.29 -0.39
-7.09 -7.29 0.20
-7.58 -6.55 -1.03
-6.35 -8.29 1.95
-7.64 -7.47 -0.17
-6.37 -5.97 -0.40
-6.78 -7.20 0.42
-5.73 -6.05 0.32
-4.49 -6.65 2.16
-6.52 -7.65 1.13
-7.31 -6.55 -0.76
-7.32 -7.35 0.03
-6.70 -7.40 0.70
-7.72 -7.10 -0.62
-7.25 -6.15 -1.10
-5.17 -7.07 1.90
-8.11 -6.88 -1.23
-5.89 -7.14 1.25
-7.52 -6.01 -1.51
-7.52 -6.37 -1.15
-8.00 -6.99 -1.01
-6.80 -6.31 -0.49
-6.97 -7.26 0.29
-7.78 -5.94 -1.84
-7.76 -7.29 -0.47
-6.21 -7.44 1.23
-5.71 -6.53 0.83
-6.62 -6.74 0.12
-6.99 -7.29 0.30
-8.33 -6.44 -1.88
-7.95 -7.21 -0.74
-6.45 -6.75 0.29
-8.37 -7.19 -1.18
-8.09 -7.25 -0.84
-7.06 -6.24 -0.82
-7.49 -7.86 0.36
-7.05 -7.60 0.54
-6.59 -6.73 0.14
-6.30 -7.24 0.94
-6.11 -7.04 0.93
-6.37 -6.77 0.40
-6.95 -7.30 0.35
-7.54 -6.20 -1.34
-7.67 -6.94 -0.73
-6.85 -6.99 0.14
-6.69 -7.56 0.87
-6.14 -6.62 0.48
-7.61 -7.43 -0.18
-7.80 -6.78 -1.02
0


iter 6
1.19 0.64 0.55
2.10 1.73 0.38
3.77 3.05 0.71
5.09 3.64 1.46
5.03 4.90 0.13
2.70 5.68 -2.98
5.66 6.32 -0.66
6.39 6.88 -0.50
8.26 8.08 0.18
7.81 9.63 -1.81
8.98 10.87 -1.88
9.57 9.84 -0.26
11.22 9.56 1.67
9.79 9.90 -0.11
9.57 9.23 0.34
10.98 9.81 1.18
8.78 10.36 -1.58
10.74 11.07 -0.33
10.18 8.96 1.22
9.94 9.77 0.17
9.67 9.77 -0.11
9.50 10.36 -0.86
9.23 10.36 -1.13
10.95 10.20 0.76
11.69 10.06 1.63
11.69 9.33 2.36
11.41 9.54 1.86
9.59 10.39 -0.80
11.95 10.33 1.62
10.53 9.73 0.80
8.24 8.89 -0.66
9.89 9.80 0.09
11.76 9.75 2.01
10.38 9.55 0.82
8.25 9.15 -0.90
8.92 8.31 0.60
6.17 7.51 -1.34
9.10 5.82 3.27
4.38 4.59 -0.20
3.31 3.16 0.14
0.63 1.98 -1.36
1.67 0.93 0.73
-0.99 -0.48 -0.51
-2.72 -1.24 -1.48
-2.29 -1.34 -0.95
-0.85 -2.03 1.18
-3.26 -3.64 0.38
-3.00 -4.71 1.72
-4.41 -4.74 0.33
-5.32 -4.92 -0.40
-4.40 -5.88 1.48
-5.47 -6.00 0.53
-5.28 -5.73 0.45
-6.19 -7.11 0.91
-8.60 -8.55 -0.05
-7.05 -8.91 1.86
-7.64 -10.49 2.85
-9.24 -11.64 2.40
-9.93 -12.16 2.23
-10.21 -13.40 3.19
-13.07 -14.74 1.66
-12.32 -15.05 2.73
-13.41 -15.59 2.17
-12.75 -14.71 1.96
-13.60 -15.51 1.91
-15.99 -14.28 -1.71
-14.58 -14.91 0.33
-15.59 -15.11 -0.48
-15.90 -14.15 -1.75
-13.21 -14.85 1.64
-13.29 -14.10 0.81
-14.46 -14.78 0.33
-16.39 -14.52 -1.88
-15.63 -14.48 -1.15
-15.43 -15.59 0.16
-16.18 -15.22 -0.96
-14.31 -14.46 0.14
-14.03 -15.53 1.51
-15.73 -15.67 -0.07
-15.00 -15.02 0.02
-15.27 -14.92 -0.36
-17.21 -15.79 -1.42
-16.97 -14.37 -2.61
-15.33 -15.58 0.26
-16.31 -14.39 -1.92
-15.44 -14.82 -0.62
-14.42 -15.25 0.83
-15.41 -15.14 -0.26
-16.38 -14.68 -1.71
-14.48 -14.69 0.22
-13.59 -14.99 1.40
-15.96 -15.04 -0.92
-15.26 -15.56 0.30
-15.50 -15.59 0.09
-14.79 -14.71 -0.08
-15.60 -14.61 -0.99
-14.25 -15.19 0.95
-16.48 -15.39 -1.09
-15.42 -14.54 -0.89
-14.24 -14.86 0.62
-14.96 -14.40 -0.56
-15.22 -15.24 0.02
-16.33 -15.27 -1.06
-15.34 -14.91 -0.43
-15.30 -15.86 0.56
-16.59 -14.53 -2.06
-16.37 -15.33 -1.04
-16.46 -15.24 -1.22
-14.94 -15.19 0.24
-13.01 -14.91 1.90
-15.46 -15.29 -0.17
-15.18 -15.34 0.16
-14.96 -15.28 0.31
-15.09 -15.54 0.45
-14.10 -14.72 0.63
-15.96 -14.90 -1.06
-13.93 -14.69 0.76
-15.32 -14.42 -0.90
-14.20 -15.28 1.09
-14.56 -15.37 0.82
-14.72 -15.01 0.29
-14.19 -15.22 1.03
-14.66 -15.13 0.47
-15.35 -14.85 -0.50
-14.74 -14.68 -0.06
-14.89 -15.27 0.38
0


iter 7
3.29 0.34 2.95
3.51 1.43 2.08
4.04 2.27 1.76
3.98 3.55 0.43
4.55 5.23 -0.67
5.47 5.71 -0.24
6.06 5.76 0.30
7.14 7.21 -0.07
8.01 7.71 0.30
7.54 8.12 -0.59
8.81 9.38 -0.58
10.35 10.48 -0.13
11.38 11.16 0.22
11.64 12.50 -0.85
11.94 11.79 0.15
13.50 11.92 1.58
12.47 12.04 0.43
12.46 11.30 1.16
13.33 13.11 0.22
13.73 12.43 1.30
13.20 11.77 1.43
12.51 11.78 0.73
14.53 11.92 2.61
13.66 12.34 1.31
11.99 12.28 -0.29
13.91 11.72 2.19
10.62 10.86 -0.24
11.21 10.48 0.73
9.92 9.88 0.04
8.48 9.50 -1.02
9.18 7.84 1.33
4.30 6.85 -2.55
4.92 5.69 -0.77
4.55 3.84 0.71
1.05 4.10 -3.05
0.38 3.30 -2.93
-0.06 1.91 -1.97
-0.51 1.53 -2.05
-0.55 0.61 -1.15
-1.84 -0.49 -1.35
-1.44 -1.99 0.55
-1.33 -3.15 1.83
-4.02 -3.84 -0.17
-2.24 -4.01 1.77
-3.03 -5.10 2.07
-5.08 -6.40 1.32
-8.15 -7.22 -0.92
-5.26 -8.68 3.42
-7.33 -10.32 2.98
-6.88 -9.34 2.45
-6.26 -10.46 4.20
-9.12 -10.02 0.90
-7.57 -10.11 2.54
-9.56 -10.53 0.97
-11.24 -9.77 -1.47
-8.25 -10.80 2.54
-9.19 -10.20 1.01
-9.05 -10.18 1.13
-11.91 -10.42 -1.49
-10.78 -9.90 -0.88
-9.85 -9.68 -0.17
-8.69 -10.12 1.43
-8.91 -9.81 0.90
-9.67 -9.34 -0.33
-10.14 -9.96 -0.17
-9.07 -9.31 0.25
-9.93 -10.57 0.64
-11.94 -9.22 -2.72
-8.27 -9.87 1.60
-9.17 -10.68 1.50
-10.12 -10.52 0.40
-10.49 -9.55 -0.94
-9.00 -10.46 1.47
-10.81 -10.37 -0.45
-9.85 -10.95 1.11
-10.60 -9.96 -0.64
-9.48 -9.73 0.25
-10.46 -9.53 -0.93
-8.90 -10.29 1.39
-10.28 -10.24 -0.04
-10.52 -10.25 -0.27
-9.54 -9.88 0.34
-7.79 -10.17 2.39
-10.65 -10.24 -0.41
-10.32 -10.18 -0.14
-10.81 -9.51 -1.30
-9.17 -9.69 0.52
-8.72 -10.50 1.78
-11.21 -10.34 -0.87
-10.08 -10.28 0.21
-9.91 -10.48 0.57
-11.45 -10.26 -1.18
-10.14 -9.73 -0.41
-9.61 -9.91 0.31
-11.71 -10.15 -1.56
-8.99 -9.26 0.28
-8.18 -10.19 2.01
-11.00 -10.43 -0.57
-8.73 -9.31 0.58
-9.18 -10.41 1.23
-11.13 -9.76 -1.37
-8.92 -9.82 0.90
-11.40 -9.09 -2.31
-10.88 -10.47 -0.41
-11.61 -10.25 -1.36
-9.84 -8.86 -0.99
-9.21 -10.23 1.03
-11.23 -9.57 -1.67
-9.30 -9.93 0.63
-8.74 -10.42 1.68
-9.14 -10.39 1.25
-9.10 -10.22 1.12
-9.44 -9.52 0.08
-9.99 -9.58 -0.41
-8.82 -9.91 1.09
-7.95 -10.21 2.25
-9.98 -10.02 0.04
-9.76 -10.22 0.45
-11.14 -10.69 -0.45
-10.69 -10.21 -0.48
-8.74 -10.20 1.46
-9.44 -9.79 0.35
-8.46 -10.07 1.61
-10.07 -9.33 -0.73
-9.27 -10.81 1.54
-11.03 -10.49 -0.54
0


iter 8
2.55 1.01 1.54
0.74 2.45 -1.71
2.73 1.58 1.15
2.50 3.19 -0.69
4.82 4.44 0.38
